review,score,review_length,cleaned_review
"I enjoy the movies: I enjoy the movies, shows, and entertainment provides by Netflix. And at the expense, it is perfect especially as something is offered for you and your family, and I also appreciate that you can control the rating for the shows or movies as I have nephews and nieces that are young and sometimes they use my account, so great and easy way to control that. Overall, great service and there is always something new and a good amount of older movies that I enjoy watching.",4,489,enjoy movie enjoy movie show entertainment provide Netflix expense perfect especially offer family appreciate control rating show movie nephew niece young use account great easy way control overall great service new good old movie enjoy watch
"Wish I could leave 0 stars: Wish I could leave 0 stars. NETFLIX HAS GONE WAYYYY DOWN HILL. With their new household requirements I continuously get kicked off my devices ***WITHIN THE SAME HOUSE HOLD*** I’ve tried calling CS numerous times with unbelievably long wait times and little to no help fixing the problems. Their fees are outrageous compared to other streaming services with terrible quality shows, or half-assed remakes of movies/shows.  Don’t waste your money. Until Netflix gets their act together there are plenty of other more high quality streaming services out there.",1,584,wish leave 0 star Wish leave 0 star NETFLIX go WAYYYY HILL new household requirement continuously kick device house HOLD ve try call CS numerous time unbelievably long wait time little help fix problem fee outrageous compare stream service terrible quality show halfasse remake moviesshow   not waste money Netflix get act plenty high quality stream service
"Unauthorised Payment: I cancelled my Netflix subscription last January 2023.  Netflix must have kept my credit card details because they took £4.99, an unauthorised payment, from my credit card account this last 29th October.  If you cancel a subscription with Netflix, make sure they do not keep your credit card details.",1,322,Unauthorised Payment cancel Netflix subscription January 2023   Netflix keep credit card detail take 499 unauthorised payment credit card account 29th October   cancel subscription Netflix sure credit card detail
"If I could give zero stars I would: If I could give zero stars I would!  Useless company, god forbid someone travels more than once or twice in a year or is away from their “home” in college and trying to use the service THAT THEY PAID FOR!  Disney plus has a brand new customer thanks to Netflix bad PR move with account changes  Soon to be the newest blockbuster - not soon enough",1,382,zero star zero star   useless company god forbid travel twice year away home college try use service pay   Disney plus brand new customer thank Netflix bad pr account change   soon new blockbuster   soon
Charged for a cancelled service: I cancelled my Netflix account months ago and received regular emails inviting me to rejoin. Meanwhile unnoticed by me they continued to take  £15.99 each month from my credit card. When I finally managed to have an online exchange with’Noone’ presumably AI. I was told that somehow I had 2 accounts..which made no sense at all. Noone agreed a one month refund but would not discuss the issue.  How many others think they have exited Netflix only to find they are still paying but have no access????,1,532,charge cancel service cancel Netflix account month ago receive regular email invite rejoin unnoticed continue   1599 month credit card finally manage online exchange withnoone presumably AI tell 2 accountswhich sense agree month refund discuss issue   think exit Netflix find pay access
Terrible: Terrible. They have cancelled any shows that I actually enjoyed and the remaining offerings are unoriginal and poor. Whilst at the same time they are quite content to bump the prices up at every opportunity. The only reason I keep it going is because my mum watches Korean dramas on Netflix. If it wasn't for that I would cancel it in a heartbeat as there is nothing in it for me. Rip off.,1,399,terrible terrible cancel show actually enjoy remain offering unoriginal poor whilst time content bump price opportunity reason go mum watch korean drama Netflix not cancel heartbeat Rip
Netflix allowed my account to be hacked.: Netflix allowed my account to be hacked. They let someone change my email address to theirs and also change the password. They did not send any email or message saying they had been asked to do it and never checked it was genuine. When i contacted them they told me they had no way of knowing when it had happened or what the new email on my account was. I am disgusted with them,1,421,Netflix allow account hack Netflix allow account hack let change email address theirs change password send email message say ask check genuine contact tell way know happen new email account disgusted
"price going up AGAIN: I've heard price going up AGAIN, (must be a war going on somewhere) it's not the best for TV viewing so I've cancelled my subscription, but a bit pissed off I can't remove my card details",2,209,price go ve hear price go war go good tv view ve cancel subscription bit piss not remove card detail
"Just had to Lower my subscription and…: Just had to Lower my subscription and seriously considering leaving for good. £2 price hike out of the blue isn't on. Your subscription services are more than DOUBLE the cost of any other service. You must have a TV, Electicity, TV License and Broadband before you can even use this service, It is not cost effective and cannot be justified and is simply not worth it.  The content this year has been shocking, untold foreign dubbed movies, no new releases of much loved series due to ongoing disputes and strikes yet you see that you need to increase your prices why? What do I actually get for this extra £2 a month? There's nothing new getting added to your services so I don't see how you are charging more. I am going to look at other options as netflix doesn't want to cater for family's on a lower income",1,851,lower subscription lower subscription seriously consider leave good 2 price hike blue not subscription service double cost service TV Electicity TV License Broadband use service cost effective justify simply worth   content year shock untold foreign dub movie new release love series ongoing dispute strike need increase price actually extra 2 month s new getting add service not charge go look option netflix not want cater family low income
"ability to watch with subtitles, in different languages, no ads, lots of content: I thought for a long time whether to buy a subscription to Netflix, because it costs a lot of money, but I decided to do it and I was not mistaken. After all, this is a great platform for watching movies and TV series. First, it is the most famous online movie theater. Secondly, the quality of series at the highest level (the picture and sound). Thirdly, everyone is offered the opportunity to use a trial period of one month, but you need to link the card and enter CVV/CVC numbers",4,566,ability watch subtitle different language ad lot content think long time buy subscription Netflix cost lot money decide mistaken great platform watch movie tv series famous online movie theater secondly quality series high level picture sound thirdly offer opportunity use trial period month need link card enter CVVCVC number
"Tripe!: I pay Netflix and they keep shutting me out of my TV account. There is no easy way to recover this. Netflix was good, but is now a rubbish service stealing my money",2,172,tripe pay Netflix shut tv account easy way recover Netflix good rubbish service steal money
"Tricked by Netflix into getting me off basic plan: Received an email saying price increasing!  Why?  Because you spent obscene amounts of money on ex Royal Harry and Meghan.  I am a royalist but Harry and Meghan have nothing to say that most of us are interested in, so why should my subscription cost more because you lot spent too much money on these lazy individuals?",1,370,trick Netflix get basic plan receive email say price increase     spend obscene amount money ex Royal Harry Meghan   royalist Harry Meghan interested subscription cost lot spend money lazy individual
"Poor customer service: If you are not satisfied, change to the iptv service. It is really better and has many options and makes me feel comfortable. I use this site to subscribe. It is wonderful. smmone.online",1,209,poor customer service satisfied change iptv service well option make feel comfortable use site subscribe wonderful smmoneonline
"Just had an email stating my plan is…: They used to be good before but now they are abysmal. But, it's surprising that they have stopped caring all together. They are accused of spreading wrong and false information as well, especially most of their documentaries are staged and fabricated. For instance Netflix/Netflix personnel are banned to go anywhere near to F1 drivers. They falsely showed some of the stories in their F1 series. When the drivers complained and the F1 authority found the truth about it, they were asked not to approach any F1 Drivers anymore. There are more instances of false representation in other Netflix shows. You can only watch it as a medium for silly entertainment only that's all. Don't believe any facts or arguments that you'll get from them. ""Hear me now, Believe me later''",1,811,email state plan good abysmal surprising stop care accuse spread wrong false information especially documentary stage fabricate instance NetflixNetflix personnel ban near f1 driver falsely show story f1 series driver complain F1 authority find truth ask approach f1 driver anymore instance false representation Netflix show watch medium silly entertainment s not believe fact argument ll hear believe later
"1 star as I can’t give any lower…: Expensive and monopolized with absolutely NO accountability. Seriously, try getting a non-IT issue resolved. You never will. Not an option. Happened several times, but I guess on this site I have to pick one specific date. Lucky them even a review site doesn't have the option to leave a full review.",1,335,1 star not lower expensive monopolize absolutely accountability seriously try get nonit issue resolve option happen time guess site pick specific date lucky review site not option leave review
"Continually locks up my smart TV!!!: Bumping prices up again in UK during a cost of living increase. I am paying £21 for the Ultra sub cos I added on a family member who does not live at my address, extra £5. There is nothing new on NetFlix apart from foreign language stuff badly dubbed in English, if you're lucky! No wonder so many folks pay a one off fee to pirate stuff! The big corps are to blame!",1,403,continually lock smart tv Bumping price UK cost living increase pay 21 Ultra sub cos add family member live address extra 5 new NetFlix apart foreign language stuff badly dub English lucky wonder folk pay fee pirate stuff big corps blame
"Tired of subtitles: Crap shows, and they cancel all the good ones. The fact they even list certain movies, but refuse to add the first one in the trilogy, predatory because it's goal is to make you watch the 2nd and 3rd, but go out and buy the 1st separately. Then theres the madness with people sharing their accounts. If people pay for their credentials to access content, how they use those credentials is up to them, if you don't like it, find a better way to avoid it, rather than threatening your customers!",2,513,tired subtitle Crap show cancel good one fact list certain movie refuse add trilogy predatory goal watch 2nd 3rd buy 1st separately s madness people share account people pay credential access content use credential not like find well way avoid threaten customer
"Netflix is a waste of money 💰 they…: Read the books and so was curious to see what Netflix made of it. Bought a blu ray boxed set from Ebay. These discs turned out to be pirated (from China, complete with printed discs, sleeves etc), but played as they should. What a jolt! The first season wasn’t terrible, one book given 10 episodes. Some odd changes and deeply peculiar editing, but nevermind. Season 2 was where it came apart. 2 books shoehorned into a measly 8 episodes. The editing was an amateurish mess, really some of the worst we’ve seen. Changes to the characters and plot were FAR beyond demented, utterly without rhyme or reason, most of it now no longer making any sense at all. A lesbian couple, who sort of were in the book (very briefly), now had a child, who wasn’t, and this was done insultingly half-heartedly, interfered with the pace and took up valuable running time which would have been better used for other elements of the story, but just to do this to parade your ‘woke’ credentials glaringly revealed how ‘unwoke’ the producers of this botched series really are. Lazy cut and paste stuff to say the least. We were all surprised Richard Morgan signed-off (he was a consultant, apparently) on this evisceration of his work; Presumably the money was too good to turn down, but we wonder if he was even there at all. Others here have said it: Go woke, go broke. And on the strength of THIS showing?  We won’t be taking out a Netflix subscription.",1,1471,Netflix waste money   Read book curious Netflix buy blu ray box set Ebay disc turn pirate China complete print disc sleeve etc play jolt season not terrible book give 10 episode odd change deeply peculiar editing nevermind Season 2 come apart 2 book shoehorn measly 8 episode editing amateurish mess bad ve see change character plot far demente utterly rhyme reason long make sense lesbian couple sort book briefly child not insultingly halfheartedly interfere pace take valuable running time well element story parade woke credential glaringly reveal unwoke producer botch series Lazy cut paste stuff surprised Richard Morgan signedoff consultant apparently evisceration work Presumably money good turn wonder say wake break strength show   will not take Netflix subscription
"I keep getting a refund nearly every…: 2 logged in 3rd logging in require to buy a fourth one. Yeah, yeah some household It's ok you, Netflix do not like to let in the fourth but faking that three already is logged and offering us to by a fourth seat? Is it some kind of optimizing? Hmm, may consider to let off my stocks. And support: NONE.",3,341,get refund nearly 2 log 3rd log require buy fourth yeah yeah household ok Netflix like let fourth fake log offer fourth seat kind optimize Hmm consider let stock support
"Resolution drops when price goes up: Some things are best to leave it the same, with your price increase on the subscription, its time to cancel netflix subscription to much time TV is bad for me anyway. Now 30 dollars a month really became a bill, Especially with all other options available for TV. Good luck fun while it lasted.",1,331,resolution drop price go thing good leave price increase subscription time cancel netflix subscription time tv bad 30 dollar month bill especially option available TV Good luck fun last
I enjoy the movies: Visit our website to benefit from the best iptv subscriptions  IPTVPrimeFlow,4,96,enjoy movie visit website benefit good iptv subscription   iptvprimeflow
"Wish I could leave 0 stars: Total bandits! Been a subscriber for several years, never shared illegally or missed a payment.  I don’t watch it much, the odd program now and then but it’s mainly the grandkids, I like to have a choice for them.  Tonight I logged in on my Panasonic smart tv to be greeted by “This device is no longer supported”.  Sod you Netflix I will decide when I need a new TV.  So I cancelled ny subscription.  WELCOME TO AMAZON PRIME TV.",1,457,wish leave 0 star total bandit subscriber year share illegally miss payment   not watch odd program mainly grandkid like choice   tonight log Panasonic smart tv greet device long support   Sod Netflix decide need new tv   cancel ny subscription   WELCOME amazon PRIME tv
"Unauthorised Payment: A while back I really used to enjoy my premium service. Recently there's more and more less interesting content added. I have a feeling it's quantity over quality. Yet, I have just read that the there will be a second price increase in such a short time! Apparently talking about gaining more customers since the end of password sharing. I'm not sure if this is how treat your customers fair or it's just pure profit machine like anything in this capitalistic world. Greed is the worst of human traits!",1,524,Unauthorised Payment enjoy premium service recently s interesting content add feeling quantity quality read second price increase short time apparently talk gain customer end password share m sure treat customer fair pure profit machine like capitalistic world Greed bad human trait
"If I could give zero stars I would: Netflix is doing great, but i think they should improve in movie updates , and addition of new movies, i come in the app and still find same movies as of the last ones i met i there",1,217,zero star Netflix great think improve movie update   addition new movie come app find movie one meet
"Charged for a cancelled service: I had Netflix premium for 4 screens in my 2 houses which are 10 miles away. Stupid Anthony their customer support is asking to go in each location once a month and stream. Now who pay for my gas and the interruption in service happens my kids will suffer during streaming. I recommend Amazon prime with student account only $7, but I was paying for useless Netflix $25.",1,402,charge cancel service Netflix premium 4 screen 2 house 10 mile away Stupid Anthony customer support ask location month stream pay gas interruption service happen kid suffer streaming recommend Amazon prime student account 7 pay useless Netflix 25
Terrible: If you pay for subscription TV services your an idiot. Subscription services are the biggest rip off in business I know people who spend £100 a month on this crap and for what so you can watch some average netflix only show or a film thats probably free on YouTube it's so old,1,286,terrible pay subscription tv service idiot Subscription service big rip business know people spend 100 month crap watch average netflix film s probably free YouTube old
"Netflix allowed my account to be hacked.: Netflix use to be ok but i find them very greedy for such tripe. Cancel shows that were good. Or put series 6 and 7 of certain shows on. Stupid. They have a few good documentaries.  Films are all over the place for example back to the future part 2 or 3 but no original, im only using back to the future as example. The price is outrageous for whats on there, this is why people were probably sharing emails,  Save your money. Disney plus and paramount are so much better. For less the price.",1,534,Netflix allow account hack Netflix use ok find greedy tripe Cancel show good series 6 7 certain show Stupid good documentary   film place example future 2 3 original m future example price outrageous s people probably share email   save money Disney plus paramount well price
"price going up AGAIN: Netflix boasts an impressive range of shows and movies, and the streaming quality is top-notch. However, frequent content removals and regional restrictions can sometimes limit viewing options. A mixed bag, but still a viable entertainment choice.",2,269,price go Netflix boast impressive range show movie stream quality topnotch frequent content removal regional restriction limit view option mixed bag viable entertainment choice
Just had to Lower my subscription and…: The price hike is absolutely disgraceful. It was already expensive for what it is. Discovery Plus has much better content and only for £3.99 a month.,1,189,lower subscription price hike absolutely disgraceful expensive Discovery plus well content 399 month
"ability to watch with subtitles, in different languages, no ads, lots of content: This company hasn’t the first clue about customer retention or service.  As a Netflix customer of a decade or more I’ve seen my subscription cost increase threefold for petty things like HD, as if that’s some super perk these days.  Now, apparently the TV fixed on my wall connected to the same router for 2 years is suddenly ‘not part of my household’ and I need to jump thru several hoops to fix it?  No thanks.  Netflix, you are the weakest link - goodbye.",4,541,ability watch subtitle different language ad lot content company not clue customer retention service   Netflix customer decade ve see subscription cost increase threefold petty thing like HD s super perk day   apparently tv fix wall connect router 2 year suddenly household need jump hoop fix   thank   Netflix weak link   goodbye
Tripe!: What is happening??!!! Can’t watch anything without the program stopping to check my device!!! Today it happened about 6 times!!! Sort this mess out and fast Netflix!!  Or I am out as I am sure many others will be!!!  Ridiculous!!! 0 stars!!,2,249,tripe happen not watch program stop check device today happen 6 time sort mess fast Netflix   sure   ridiculous 0 star
"Tricked by Netflix into getting me off basic plan: Well I have always had Netflix but decided to take a break,  got dinsey plus and amazon,  lasted 4 weeks max, Netflix is the best around, and as for the price change I would happily pay it! I won't wonder from Netflix again! Thank u guys:)",1,290,trick Netflix get basic plan Netflix decide break   get dinsey plus amazon   last 4 week max Netflix good price change happily pay will not wonder Netflix thank u guy
Poor customer service: First Netflix stop password sharing then they hike the premium package up to £17.99 a month? Just read an article that said Netflix have gained 9 million extra subscribers since dumping the password sharing but they still put the price up. That's just pure greed in a time when everyone is struggling. I have cancelled my package,1,352,poor customer service Netflix stop password share hike premium package 1799 month read article say Netflix gain 9 million extra subscriber dump password sharing price s pure greed time struggle cancel package
"Just had an email stating my plan is…: I don't know who is in charge of developing new content at Netflix, but with all the foreign dubbed trash they are releasing lately, it is quickly turning into a train wreck. These creative geniuses at Netflix who took the strategic approach of now mostly developing content in foreign languages with actor's no one in the UK, US, or even Canada has even heard of should be sacked!! It is very clear that Netflix values quantity over quality.  I really wish there was a  minus 5 star option, that's what Netflix really deserves! Amazon Prime all the way now!!",1,598,email state plan not know charge develop new content Netflix foreign dub trash release lately quickly turn train wreck creative genius Netflix take strategic approach develop content foreign language actor UK Canada hear sack clear Netflix value quantity quality   wish   minus 5 star option s Netflix deserve Amazon Prime way
1 star as I can’t give any lower…: How can Netflix put their prices up again when; Most shows are mostly foreign and are not adapted to the selected countries  Not one of the latest movies atall!! (As soon as Disney plus movies are out of cinema they are added this is not the case for Netflix) You can no longer share your Netflix  They remove the best movies and update with movies that are from the Stone Age !  Constantly putting up the price but making no adequate investments to the actual product or service,1,514,1 star not low Netflix price show foreign adapt select country   late movie atall soon Disney plus movie cinema add case Netflix long share Netflix   remove good movie update movie Stone Age    constantly put price make adequate investment actual product service
"Continually locks up my smart TV!!!: Being a original Netflix subscriber from when it originally started Netflix has took a turn straight downhill. 1st Netflix does have pretty good customer service when it comes to technical difficulties for the app. Also the app itself runs pretty smoothly and originally way better than all the rest, but those other providers has caught up to the technology. NOW THE BAD. Let's start with the increasing of prices several time in a short period of time. Even after passcode sharing was eradicated and their profits increased for the quarter Netflix still increase their prices again. So they pretty much lied about why the raised prices in the 1st place. Currently I am still a subscriber of netflux I lowered my plan and watch alot of other veiwing app option. 4 different movie apps equal the price of one Netflix premium and thats without ads. Do not let Netflix lie to you that they are giving you a great deal and comparing it to a night out. It's gross and negligent. I have the money, but it's not about the money, but some how it is. Never let a soul sucking creature drain everything they can from you to satisfy their unnecessary thirst for more and more. Netflix do still have a solid product with decent movies. BUT the entertainment is not really worth the price unless you are completely dedicated to their programming. I would not recommend this app to any as my 1st overall choice.",1,1435,continually lock smart tv original Netflix subscriber originally start Netflix take turn straight downhill 1st Netflix pretty good customer service come technical difficulty app app run pretty smoothly originally way well rest provider catch technology BAD Lets start increasing price time short period time passcode sharing eradicate profit increase quarter Netflix increase price pretty lie raise price 1st place currently subscriber netflux lower plan watch alot veiwe app option 4 different movie app equal price Netflix premium s ad let Netflix lie give great deal compare night gross negligent money money let soul suck creature drain satisfy unnecessary thirst Netflix solid product decent movie entertainment worth price completely dedicated programming recommend app 1st overall choice
"Tired of subtitles: My account gets hacked and they wont honour the plan I was on before as the hackers upgraded to the most expensive... wanting me to go from £6.99 a month to £10.99 for a dwindling option of shows and films.  Looks like my feeling is similar to many on here too, such a greedy hike!",2,301,tired subtitle account get hack will not honour plan hacker upgrade expensive want 699 month 1099 dwindle option show film   look like feeling similar greedy hike
Netflix is a waste of money 💰 they…: netflix customer service is so on point- best customer service experience EVER-- keep up the stunning job...chatted to Elizabeth- im still in awe,1,182,Netflix waste money   netflix customer service point good customer service experience stunning jobchatte Elizabeth m awe
I keep getting a refund nearly every…: I have been a Netflix customer for at least 15 years. I am recently divorced and when kids are at my house they cannot watch Netflix because its the other parents plan. This is an awful experience im sure for a lot of people in my situation.,3,280,get refund nearly Netflix customer 15 year recently divorced kid house watch Netflix parent plan awful experience m sure lot people situation
"Resolution drops when price goes up: The quality of content is falling rapidly; Netflix has become just another company who are massively increasing income while sacrificing quality to reduce costs. The platform was already much too expensive for the quality on offer, the best of their content has been cut short or left incomplete. Netflix cannot justify current rates, let alone a hike of more than 12%, it is time to say goodbye.  After cancelling my contract, I tried to remove my card details from their servers but there is no way to do this online. To have a payment card removed, it is necessary to telephone Netflix and request it be removed manually. Greedy and Untrustworthy, how very 2020s.",1,703,resolution drop price go quality content fall rapidly Netflix company massively increase income sacrifice quality reduce cost platform expensive quality offer good content cut short leave incomplete Netflix justify current rate let hike 12 time goodbye   cancel contract try remove card detail server way online payment card remove necessary telephone Netflix request remove manually Greedy Untrustworthy 2020s
"I enjoy the movies: That's it... you can't keep asking for more money and giving less. You guys are running your company into the ground for short term profit, but you already knew that.",4,186,enjoy movie s not ask money give guy run company ground short term profit know
"Wish I could leave 0 stars: stop getting rid of the good films you fxcking bxstard youre insane in a criminal way please get sectioned you dumb company you are a risk to everyones safety and well being and frankly you are a risk to yourself. my kids are dead because of you, as are my parents. i am orphaned. i have no home. i am only 11. Susan May Greggors",1,357,wish leave 0 star stop getting rid good film fxcke bxstard insane criminal way sectioned dumb company risk everyone safety frankly risk kid dead parent orphan home 11 Susan greggor
Unauthorised Payment: Been using Netflix for many years off and on mostly on. Tonight however tried to watch something when a warning flashed up telling me too many people using Netflix. The too many was my daughter on her tablet the screen tells me if I want to watch something myself I have to cough up another £4.00 terrible. As if these companies aren't making enough money just plain greedy am now looking to cancel it completely I've had enough of this constant demand for more from these huge businesses Who are never satisfied. Don't think il really miss it.,1,566,Unauthorised Payment Netflix year Tonight try watch warning flash tell people Netflix daughter tablet screen tell want watch cough 400 terrible company not make money plain greedy look cancel completely ve constant demand huge business satisfied not think il miss
If I could give zero stars I would: Very disappointed with their services as there is issues from their sides and they are just willing to give troubleshoot steps instead of giving some compensation for the loss and when it comes to payment they take out straight away and when it comes to refund they are denaying it greedy people. And customer service staff are not willing to give their CEO name or add fu**** nuggets.  This is not good service provided to their customers. This company needs to learn a lesson.,1,514,zero star disappointed service issue side willing troubleshoot step instead give compensation loss come payment straight away come refund denaye greedy people customer service staff willing ceo add fu nugget   good service provide customer company need learn lesson
Charged for a cancelled service: Netflix have one of the largest collections of streamable garbage you could ever want. If you like your brain drained with second rate TV shows then this is a great place to be but personally. I would opt for the rusty nail in the shoe every time or perhaps Saxondale said it better when he talked about licking something yellow off nettles...,1,376,charge cancel service Netflix large collection streamable garbage want like brain drain second rate tv show great place personally opt rusty nail shoe time Saxondale say well talk lick yellow nettle
"Terrible: I have had netflix for a long time, and  they are raising thir rates and we are probably going to get rid of netflix because they show that they have new movies  every week and there may be 1 new movie, but the rest are old movies. You can go on peacock and get the newest movies and they are cheaper.",1,311,terrible netflix long time   raise thir rate probably go rid netflix new movie   week 1 new movie rest old movie peacock new movie cheap
Netflix allowed my account to be hacked.: Been with Netflix years only one price increase of a pound. Never had adverts either do not have WiFi just use my mobile data. Only needed to ring customer services once in 5 years very helpful staff sorted out in 5 minutes,1,265,Netflix allow account hack Netflix year price increase pound advert WiFi use mobile datum need ring customer service 5 year helpful staff sort 5 minute
"price going up AGAIN: Multiple reasons why I am leaving Netflix: Join Hulu and paramount plus and Amazon now .  1) Sometimes my wifi is not working so I use a cellular hot spot, still can't use devices because it is not part of the household. Netflix is no longer meant for travelers or people who might have to choose a wifi payment vs a cell phone bill payment or have wi-fi maintenance done. 2) I traveled to spend time with my Mother and Father, my father has  cancer and I wanted to watch a show that on Netflix with them to have some family fun time. I couldn't log in because their TV was not part of the household. We ended up signing up for another streaming platforms ! And I ended up liking 3 other platforms better ! But we had to watch a different movie. 3) I have to jump through hoops to be able to watch Netflix on my own devices when leaving the house. I guess Netflix isn't for the user.. it is just for the house.",2,932,price go multiple reason leave Netflix Join Hulu paramount plus Amazon    1 wifi work use cellular hot spot not use device household Netflix long mean traveler people choose wifi payment vs cell phone bill payment wifi maintenance 2 travel spend time Mother Father father   cancer want watch Netflix family fun time not log tv household end sign stream platform   end like 3 platform well   watch different movie 3 jump hoop able watch Netflix device leave house guess Netflix not user house
"Just had to Lower my subscription and…: Have been a customer for a long time, they changed their policy and it now affects my service I pay for and to do what I did before I now have to pay more money. I have never abused my service I have 2 homes and have a total of 2 televisions and 1 tablet on my account , now unless both televisions are on the same network you can only have 1 TV on the account but phones and tablets are allowed in and out of the homes network. What they need to do is go after the ones that have like 50 devices , in multiple homes  Wish I sold my login to others would have made alot of money but being honest I get ripped off by Netflix",1,663,lower subscription customer long time change policy affect service pay pay money abuse service 2 home total 2 television 1 tablet account   television network 1 tv account phone tablet allow home network need one like 50 device   multiple home   Wish sell login alot money honest rip Netflix
"ability to watch with subtitles, in different languages, no ads, lots of content: Beware Netflix through third parties like Sky. I specifically cancelled my Netflix through Sky but Netflix  had a back up plan to steal my subscription money through card details I previously used with them and they won’t return it. They didn’t even give any notice and took the money from my current account which I use for paying direct debits, leaving me short to pay other bills and facing bank charges. I hardly used the very poor service anyway, possibly only to download a movie to watch on an airplane but I will never use them again. This theft from common people is how these billionaires are funding their lavish waste of money projects like racing into outer space.",4,759,ability watch subtitle different language ad lot content Beware Netflix party like Sky specifically cancel Netflix Sky Netflix   plan steal subscription money card detail previously will not return not notice take money current account use pay direct debit leave short pay bill face bank charge hardly poor service possibly download movie watch airplane use theft common people billionaire fund lavish waste money project like race outer space
